cmavo_composite,freq,dubious,eleven,not_found,notes
a'abu'odai,1,,,1,CMAVO
a'acaidai,3,,,1,CMAVO
a'acu'i,21,,,1,CMAVO4
a'adai,7,,,1,CMAVO
a'anaicai,4,,,1,CMAVO
a'apei,3,,,1,CMAVO
a'aru'e,2,,,1,CMAVO
a'ecai,2,,,1,CMAVO
a'enai,22,,,1,CMAVO
a'enairo'e,1,,,1,CMAVO
a'enairo'o,3,,,1,CMAVO
a'icai,6,,,1,CMAVO
a'icu'i,6,,,1,CMAVO
a'idai,4,,,1,CMAVO
a'ije,4,,,1,CMAVO4
a'inai,5,,,1,CMAVO
a'izo'o,1,,,1,CMAVO
a'ocai,35,,,1,CMAVO
a'oji'a,7,,,1,CMAVO
a'omei,1,question_mark,,1,CMAVO
a'onai,39,,,1,CMAVO
a'onaicai,7,,,1,CMAVO
a'ope'u,5,,,1,CMAVO
a'oru'e,4,,,1,CMAVO
a'osai,6,,,1,CMAVO
a'ozo'o,2,,,1,CMAVO
a'uba'a,2,,,1,CMAVO
a'ucai,6,,,1,CMAVO
a'ucaidai,2,,,1,CMAVO
a'ucu'i,19,,,1,CMAVO
a'ucu'isai,2,,,1,CMAVO
a'udai,5,,,1,CMAVO
a'uje,1,,,1,CMAVO
a'unai,29,,,1,CMAVO
a'unaicai,23,,,1,CMAVO
a'unaicairo'e,2,,,1,CMAVO
a'unaicairo'i,1,,,1,CMAVO
a'unaipei,3,,,1,CMAVO4
a'unairo'e,1,,,1,CMAVO4
a'unairo'i,2,,,1,CMAVO
a'upei,1,,,1,CMAVO
a'uro'u,11,,,1,CMAVO
a'uru'e,6,,,1,CMAVO
a'usai,9,,,1,CMAVO
abu,427,,,1,CMAVO
abuboi,11,,,1,CMAVO
abuby,7,,,1,CMAVO
abuso,1,,,1,CMAVO
aicai,30,,,1,CMAVO
aicu'i,28,,,1,CMAVO
aidai,8,,,1,CMAVO
aijei,1,,,1,CMAVO
aiku'i,4,,,1,CMAVO4
aimai,1,,,1,CMAVO
aimi'u,1,,,1,CMAVO4
ainai,28,,,1,CMAVO
ainaicai,5,,,1,CMAVO4
ainei,1,,,1,CMAVO
aipe'i,2,,,1,CMAVO
aipei,20,,,1,CMAVO
airu'e,5,,,1,CMAVO
aisai,8,,,1,CMAVO4
aise'inai,4,,,1,CMAVO
aixu,2,,,1,CMAVO
aje'abo,2,,,1,CMAVO4
aledu'u,1,,,1,CMAVO
alenu,2,,,1,CMAVO4
apo'o,4,,11,1,CMAVO
aubu'onai,2,,,1,CMAVO
aucai,14,,,1,CMAVO
aucainai,6,,,1,CMAVO
aucairo'a,3,,,1,CMAVO
aucu'i,16,,,1,CMAVO
auki'a,2,,,1,CMAVO4
aunai,42,,,1,CMAVO
aunaisai,8,,,1,CMAVO
aupei,31,,,1,CMAVO
auro'esai,3,,,1,CMAVO
auru'e,11,,,1,CMAVO
ausai,23,,,1,CMAVO
ausaiju'o,3,,,1,CMAVO
ba'acai,4,,,1,CMAVO4
ba'acu'i,27,,,1,CMAVO
ba'aju'o,1,,,1,CMAVO
ba'aju'ocu'i,1,,,1,CMAVO
ba'aju'opa'e,2,,,1,CMAVO4
ba'anai,53,,,1,CMAVO
ba'anaiju'oru'e,3,,,1,CMAVO
ba'anaika'uta'o,3,,,1,CMAVO4
ba'anairu'e,5,,,1,CMAVO
ba'anaita'o,15,,,1,CMAVO4
ba'anaiza'a,2,,,1,CMAVO4
ba'apei,2,,,1,CMAVO4
ba'eba'o,2,,,1,CMAVO4
ba'edo'u,5,,,1,CMAVO4
ba'eje'a,1,,,1,CMAVO4
ba'emi,6,,,1,CMAVO4
ba'ena,1,,,1,CMAVO
ba'ena'e,3,,,1,CMAVO
ba'enai,5,,,1,CMAVO
ba'epa,3,,,1,CMAVO4
ba'esu'epa,3,,,1,CMAVO4
ba'ibo,74,,,1,CMAVO
ba'igi,9,,,1,CMAVO
ba'obo,3,,,1,CMAVO4
ba'oco'a,9,,,1,CMAVO
ba'oki,4,,,1,CMAVO
ba'oku,20,,,1,CMAVO
ba'olenu,1,,,1,CMAVO
ba'omo'u,4,,,1,CMAVO
ba'onai,10,,,1,CMAVO
ba'onu'o,2,,,1,CMAVO
ba'opu'o,13,,,1,CMAVO
ba'ozei,8,,,1,CMAVO
ba'ucai,2,,,1,CMAVO
ba'ucu'i,4,,,1,CMAVO
ba'unai,10,,,1,CMAVO
ba'unoi,1,,,1,CMAVO
ba'upa,2,,,1,CMAVO4
ba'ure'e,1,,,1,CMAVO4
ba'uru'e,6,,,1,CMAVO
ba'usai,2,,,1,CMAVO
baba,270,,,1,CMAVO
baba'a,4,,,1,CMAVO4
baba'o,9,,,1,CMAVO
babo,40,,,1,CMAVO
babu,1,,,1,CMAVO
baca,4,,,1,CMAVO
baca'a,8,,,1,CMAVO
baca'o,17,,,1,CMAVO
bacano,1,,,1,CMAVO
bacapiso'iroi,3,,,1,CMAVO4
bacau,1,,,1,CMAVO
baco'a,41,,,1,CMAVO
baco'i,2,,,1,CMAVO
baco'uku,18,,,1,CMAVO
bada,3,,,1,CMAVO
bada'i,2,,,1,CMAVO
bade,7,,,1,CMAVO
badi,1,,,1,CMAVO
bado,1,,,1,CMAVO
bagi,6,,,1,CMAVO
baiki,1,,,1,CMAVO
bainai,5,,,1,CMAVO
bainaiku,4,,,1,CMAVO4
baji'a,2,,,1,CMAVO4
baka'e,5,,,1,CMAVO
baki,29,,,1,CMAVO
baki'e,2,,,1,CMAVO
bakibo,2,,,1,CMAVO
baku,69,,,1,CMAVO
baku'anoroi,4,,,1,CMAVO4
baku'aroroi,1,,,1,CMAVO4
