freq,cmavo,class
9999,a,4A
123,a'a,4UI
53,a'e,UI
78,a'i,4UI
642,a'o,4UI
132,a'u,4UI
2743,ai,UI
3057,au,UI
3112,ba,PU
161,ba'a,UI
848,ba'e,4BAhE
88,ba'i,4BAI
1188,ba'o,4ZAhO
59,ba'u,4UI
1420,bai,4BAI
1158,bau,4BAI
9999,be,4BE
75,be'a,FAhA
14,be'e,COI
105,be'i,4BAI
869,be'o,4BEhO
16,be'u,UI
1124,bei,4BEI
729,bi,4PA
114,bi'i,4BIhI
34,bi'o,BIhI
7,bi'u,4UI
1503,bo,BO
328,boi,4BOI
643,bu,BU
459,bu'a,4GOhA
24,bu'e,GOhA
28,bu'i,4GOhA
2,bu'o,4UI
161,bu'u,FAhA
9999,by,4BY
6219,ca,4PU
681,ca'a,4CAhA
116,ca'e,4UI
74,ca'i,4BAI
948,ca'o,4ZAhO
47,ca'u,FAhA
326,cai,CAI
39,cau,4BAI
1716,ce,JOI
9,ce'a,BY
9,ce'i,PA
426,ce'o,4JOI
309,cei,CEI
5174,ci,4PA
93,ci'e,4BAI
32,ci'i,PA
41,ci'o,4BAI
38,ci'u,4BAI
7241,co,CO
1628,co'a,ZAhO
390,co'e,GOhA
197,co'i,ZAhO
4978,co'o,4COI
374,co'u,4ZAhO
2167,coi,COI
9999,cu,4CU
3,cu'a,VUhU
39,cu'e,4CUhE
52,cu'i,CAI
27,cu'o,4MOI
512,cu'u,4BAI
452,cy,BY
9999,da,4KOhA
135,da'a,PA
16,da'e,KOhA
887,da'i,4UI
24,da'o,DAhO
57,da'u,4KOhA
133,dai,KOhA
41,dau,4PA
9999,de,4KOhA
149,de'a,4ZAhO
77,de'e,4KOhA
103,de'i,4BAI
5,de'o,4VUhU
207,de'u,KOhA
607,dei,4KOhA
1552,di,4KOhA
180,di'a,ZAhO
4824,di'e,KOhA
119,di'i,TAhE
113,di'o,4BAI
1138,di'u,4KOhA
9999,do,4KOhA
49,do'a,UI
103,do'e,4BAI
7,do'i,4KOhA
155,do'o,KOhA
188,do'u,4DOhU
2446,doi,DOI
2745,du,GOhA
12,du'a,4FAhA
63,du'e,4PA
73,du'i,4BAI
94,du'o,4BAI
4316,du'u,NU
869,dy,4BY
3852,e,4A
157,e'a,UI
106,e'e,4UI
98,e'i,4UI
671,e'o,4UI
946,e'u,4UI
1132,ei,4UI
3282,fa,FA
345,fa'a,FAhA
26,fa'e,4BAI
8,fa'i,VUhU
132,fa'o,4FAhO
289,fa'u,JOI
232,fai,FA
408,fau,BAI
1659,fe,FA
8,fe'a,4VUhU
49,fe'e,FEhE
18,fe'i,VUhU
50,fe'o,4COI
79,fe'u,4FEhU
98,fei,4PA
7363,fi,4FA
29,fi'a,4FA
46,fi'e,BAI
124,fi'i,4COI
519,fi'o,4FIhO
92,fi'u,4PA
1935,fo,FA
675,fo'a,KOhA
117,fo'e,KOhA
64,fo'i,KOhA
11,fo'o,KOhA
113,fo'u,4KOhA
42,foi,FOI
808,fu,FA
5,fu'a,FUhA
93,fu'e,4FUhE
25,fu'i,UI
158,fu'o,4FUhO
15,fu'u,VUhU
148,fy,BY
1433,ga,GA
55,ga'a,BAI
30,ga'e,4BY
199,ga'i,UI
13,ga'o,GAhO
74,ga'u,FAhA
85,gai,4PA
289,gau,BAI
1302,ge,GA
14,ge'a,4VUhU
37,ge'e,4UI
19,ge'i,GA
30,ge'o,BY
371,ge'u,4GEhU
35,gei,4VUhU
1795,gi,GI
180,gi'a,GIhA
3674,gi'e,GIhA
98,gi'i,4GIhA
67,gi'o,4GIhA
33,gi'u,4GIhA
9999,go,4GA
174,go'a,GOhA
128,go'e,4GOhA
3477,go'i,4GOhA
15,go'o,4GOhA
21,go'u,GOhA
2381,goi,GOI
334,gu,4GA
31,gu'a,4GUhA
76,gu'e,4GUhA
20,gu'i,4GUhA
5,gu'o,GUhA
6,gu'u,GUhA
2837,gy,BY
9999,i,4I
205,i'a,UI
169,i'e,4UI
39,i'i,4UI
120,i'o,4UI
48,i'u,UI
1033,ia,4UI
3005,ie,4UI
34,ii,4UI
1394,io,UI
271,iu,UI
1332,ja,4JA
441,ja'a,NA
256,ja'e,BAI
66,ja'i,BAI
120,ja'o,4UI
1187,jai,JAI
27,jau,PA
3491,je,JA
361,je'a,4NAhE
119,je'e,4COI
70,je'i,4JA
20,je'o,BY
163,je'u,UI
1157,jei,NU
636,ji,4A
1087,ji'a,4UI
57,ji'e,BAI
209,ji'i,4PA
19,ji'o,BAI
107,ji'u,BAI
298,jo,JA
64,jo'a,4UI
30,jo'e,JOI
11,jo'i,JOhI
11,jo'o,4BY
393,jo'u,JOI
2532,joi,JOI
414,ju,4JA
72,ju'a,UI
15,ju'e,4JOI
368,ju'i,4COI
366,ju'o,UI
11,ju'u,VUhU
143,jy,BY
6033,ka,NU
50,ka'a,BAI
1836,ka'e,CAhA
54,ka'i,4BAI
65,ka'o,4PA
129,ka'u,4UI
246,kai,BAI
1326,kau,UI
3219,ke,KE
2716,ke'a,KOhA
314,ke'e,KEhE
6,ke'i,4GAhO
43,ke'o,COI
114,ke'u,4UI
3637,kei,4KEI
673,ki,KI
640,ki'a,4UI
465,ki'e,COI
26,ki'i,BAI
100,ki'o,4PA
959,ki'u,4BAI
6638,ko,4KOhA
8179,ko'a,4KOhA
1947,ko'e,KOhA
481,ko'i,KOhA
138,ko'o,KOhA
421,ko'u,4KOhA
123,koi,BAI
5380,ku,4KU
40,ku'a,4JOI
14,ku'e,KUhE
2003,ku'i,UI
928,ku'o,4KUhO
95,ku'u,4BAI
415,ky,4BY
9999,la,4LA
231,la'a,UI
1443,la'e,LAhE
68,la'i,4LA
548,la'o,4ZOI
126,la'u,4BAI
249,lai,LA
112,lau,LAU
9999,le,4LE
42,le'a,BAI
504,le'e,LE
612,le'i,4LE
59,le'o,UI
300,le'u,4LEhU
7420,lei,4LE
5198,li,LI
260,li'a,UI
48,li'e,4BAI
445,li'i,NU
308,li'o,4UI
7265,li'u,4LIhU
9999,lo,4LE
15,lo'a,4BY
2997,lo'e,LE
1021,lo'i,4LE
42,lo'o,LOhO
325,lo'u,4LOhU
7379,loi,4LE
7648,lu,4LU
1028,lu'a,4LUhI
102,lu'e,4LAhE
361,lu'i,LUhI
318,lu'o,4LUhI
159,lu'u,LUhU
1011,ly,4BY
5456,ma,KOhA
534,ma'a,KOhA
13,ma'e,4BAI
87,ma'i,BAI
61,ma'o,MAhO
34,ma'u,PA
138,mai,MAI
118,mau,4BAI
9999,me,4ME
33,me'a,BAI
112,me'e,4BAI
69,me'i,PA
103,me'o,4LI
68,me'u,4MEhU
497,mei,4MOI
9999,mi,4KOhA
669,mi'a,4KOhA
5570,mi'e,COI
983,mi'o,4KOhA
17,mi'u,UI
933,mo,4GOhA
28,mo'a,4PA
302,mo'e,MOhE
189,mo'i,4MOhI
60,mo'o,MAI
325,mo'u,ZAhO
452,moi,MOI
2241,mu,PA
301,mu'a,4UI
172,mu'e,NU
913,mu'i,BAI
397,mu'o,COI
