gismu,freq,inflation,meaning
bacru,1129,,utter
badna,21,,banana
badri,652,,sad
bajra,524,,run
bakfu,49,,bundle
bakni,95,,bovine
bakri,12,,chalk
baktu,10,,bucket
balji,7,,bulb
balni,46,,balcony
balre,54,,blade
balvi,280,,future
bancu,148,,beyond
bandu,124,,defend
banfi,26,,amphibian
bangu,1155,,language
banli,367,,great
banro,100,,grow
banxa,22,,bank
banzu,584,,suffice
bapli,227,,force
barda,751,(x),big
bargu,45,,arch
barja,232,,bar
barna,71,,mark
bartu,181,,out
basna,111,,emphasize
basti,376,,replace
batci,720,,bite
batke,25,,button
bavmi,14,,barley
baxso,11,,Malay-Indonesian
bebna,209,,foolish
bemro,27,,North American
bende,117,,crew
bengo,1,,Bengali
benji,525,,transfer
bersa,139,,son
berti,168,(x),north
besna,154,,brain
betfu,510,,abdomen
betri,83,,tragedy
bevri,678,,carry
bidju,20,,bead
bifce,17,,bee
bikla,63,,whip
bilga,290,,obliged
bilma,119,,ill
bilni,26,,military
bindo,7,,Indonesian
binra,23,,insure
binxo,782,,become
birje,95,,beer
birka,201,,arm
birti,411,,certain
bisli,56,(x),ice
bitmu,267,,wall
blabi,491,(x),white
blaci,26,,glass
blanu,1722,(x),blue
bliku,47,,block
bloti,165,,boat
bolci,362,,ball
bongu,39,(x),bone
botpi,241,,bottle
boxfo,15,,sheet
boxna,45,,wave
bradi,45,,enemy
bratu,31,,hail
brazo,3,,Brazilian
bredi,111,(x),ready
bridi,4037,,predicate
brife,207,,breeze
briju,149,,office
brito,64,f,British
broda,9621,(x),predicate var 1
brode,1240,,predicate var 2
brodi,126,,predicate var 3
brodo,8,,predicate var 4
brodu,43,,predicate var 5
bruna,311,,brother
budjo,29,,Buddhist
bukpu,88,,cloth
bumru,49,,fog
bunda,36,,pound
bunre,153,,brown
burcu,33,,brush
burna,47,,embarrassed
cabna,271,,now
cabra,126,,apparatus
cacra,182,,hour
cadzu,388,,walk
cafne,143,,often
cakla,31,,chocolate
calku,54,,shell
canci,97,,vanish
cando,56,,idle
cange,64,,farm
canja,94,,exchange
canko,333,,window
canlu,53,,space
canpa,16,,shovel
canre,113,,sand
canti,15,,gut
carce,26,,cart
carmi,591,,intense
carna,92,,turn
cartu,21,(x),chart
carvi,227,,rain
casnu,727,,discuss
catke,99,,shove
catlu,599,,look
catni,33,,authority
catra,327,,kill
caxno,9,,shallow
cecla,164,,launcher
cecmu,296,,community
cedra,59,,era
cenba,346,,vary
censa,98,,holy
centi,3,(x),.01
cerda,68,,heir
cerni,174,,morning
certu,291,,expert
cevni,467,,god
cfari,294,,initiate
cfika,103,,fiction
cfila,92,,flaw
cfine,10,e (colin),wedge
cfipu,306,,confusing
ciblu,108,,blood
cicna,19,,cyan
cidja,251,x,food
cidni,31,,knee
cidro,9,,hydrogen
cifnu,148,,infant
cigla,11,,gland
cikna,139,,awake
cikre,95,,repair
ciksi,271,,explain
cilce,70,,wild
cilmo,98,,moist
cilre,624,,learn
cilta,30,,thread
cimde,45,,dimension
cimni,49,,infinite
cinba,299,,kiss
cindu,30,,oak
cinfo,369,,lion
cinje,23,,wrinkle
cinki,58,,insect
cinla,54,,thin
cinmo,372,,emotion
cinri,475,,interesting
cinse,109,,sexual
cinta,150,x,paint
cinza,16,,tongs
cipni,680,,bird
cipra,168,,test
cirko,114,,lose
cirla,123,,cheese
ciska,955,,write
cisma,130,,smile
ciste,218,,system
citka,1696,,eat
citno,462,,young
citri,59,,history
citsi,38,,season
civla,29,,louse
cizra,458,,strange
ckabu,12,,rubber
ckafi,533,,coffee
ckaji,703,,quality
ckana,170,,bed
ckape,84,,peril
ckasu,32,,ridicule
ckeji,13,,ashamed
ckiku,33,,key
ckilu,98,,scale
ckini,192,,related
ckire,323,,grateful
ckule,377,,school
ckunu,10,,conifer
cladu,167,,loud
clani,888,,long
claxu,305,,without
clika,39,(x),mossy
clira,93,,early
clite,56,,polite
cliva,602,,leave
clupa,31,,loop
cmaci,65,,mathematics
cmalu,621,,small
cmana,180,,mountain
cmavo,4388,,structure word
cmene,1626,,name
cmila,148,,laugh
cmima,852,,member
