theme_code,theme
1,Structures
1.1,"Set, group, mass"
1.2,Chaos/order
1.3,Linear order
1.4,Range
1.5,Comparison
1.6,Mathematics
2,Information
2.1,Language
2.2,Information carriers
2.3,Message
2.4,Communication
2.5,Cognition
3,Space
3.1,Relative position
3.2,Orientation
3.3,Range
3.4,Dimensions
3.5,Forms
3.5.1,Point
3.5.2,Line
3.5.3,Surface
3.5.4,Body
3.5.5,Material shapes
4,Time
4.1,Day
4.2,Calendar
4.3,Clock
5,Processes
5.1,Causality
5.2,Controlling processes
5.3,Interactive activity
5.3.1,Command
5.3.2,Conflict
6,Movement
6.1,Self-moving
6.1.1,Abstract
6.1.2,Active movement
6.1.3,Equilibrium
6.1.4,Passive motion
6.2,Manipulating objects
6.2.1,Move
6.2.2,Surface
6.2.3,Volume
6.2.4,Fluids
7,Physical world
7.1,Ontology
7.2,Basic notions
7.3,Physical properties
7.4,Measures
7.4.1,Metric
7.4.2,Non-metric
7.4.3,Exponents of 10
7.5,Substances
7.5.1,Aggregate state
7.5.2,Phase transitions
7.5.3,Chemical categories
7.5.4,Chemical elements
8,Nature
8.1,Cosmos
8.2,Earth
8.2.1,Hydrosphere
8.2.2,Atmosphere
8.2.3,Minerals
9,Life
9.1,Plants
9.1.1,Body parts
9.1.2,Flowers
9.1.3,Fruits
9.1.4,Vegetables
9.1.5,Grain
9.1.6,Other particular plants
9.2,Animals
9.2.1,Classes of animals
9.2.2,Particular animals
9.2.3,Body parts
9.2.4,Skin derivatives
9.2.5,Internal organs
9.3,Physiology
9.3.1,Digestion
9.3.2,Reproduction
9.3.3,Health/Decease
9.3.4,Behaviour
9.4,Perception
9.4.1,Hearing
9.4.2,Vision
9.4.3,Odor
9.4.4,Taste
9.4.5,Others
10,Psychology
10.1,"Emotions, Affects"
10.2,Attitude
10.3,Evaluation
11,Socium
11.1,Family
11.2,Social Institutions
11.2.1,Governement
11.2.2,Law
11.2.3,War
11.3,Economics
11.3.1,Property
11.3.2,Money
11.3.3,Trade
11.3.4,Business
12,Human Culture
12.1,"Nations, Cultures"
12.2,Geography
12.3,Multi-ethnic cultures
12.4,Nationalities
12.5,Religion
12.5.1,Particular religions
12.6,Art
13,Technology
13.1,Technological processes
13.2,Artificial substances
13.2.1,Materials
13.2.2,Beverages
13.2.3,Foods
13.3,Artifacts
13.3.1,"Tools, Devices"
13.3.2,Containers
13.3.3,"Machines, Apparatus"
13.4,Machine parts
13.5,Transport
13.6,House
13.7,Dress
