section_id,freq,sign,actual,actual_breakdown,canon,canon_breakdown,canon_meaning,canon_places,new,new_breakdown
1,,,,,,,,,,
1,,,,,,,,,,
1,,,,,,,,,,
1,1,*,ctajveterfitpa'ajvenarfitydjisi'u,,,,,,,
1,1,*,fagykemprezdanersorcmapru,,,,,,,
1,1,*,pafybesmamcibdzetubycibyseldzefe'i,,,,,,,
1,3,*,pevykemjelkolsmimudykepklu,,,,,,,
1,2,*,pevykempavnonki'ola'ukepklu,,,,,,,
1,1,*,prezdanerkemcmafagysorkemprununjelca,,,,,,,
1,3,*,selfityborpa'arjevnardudbortugykemctasi'uuselfityborpa'arjevnardudbortugykemctasi'uu,,,,,,,
1,2,,pavjavrelklelivgyterbilma,1+and/or+2+class+liver+3rd-place-of+ill,,,,,,
1,2,,ki'orgratrefrinynidysnidu,1000+gram+meter+fraction+second+second,,,,,,
1,2,,ki'orgratretrefrinynidysnidu,1000+gram+meter+meter+fraction+second+second                                                                                                                                                         kilto+grake+mitre+mitre+frinu+snidu+snidu:  Newton (SI Unit):   x1 = grake1 (gram)､ x2 = grake2 (number of grams)､ x3 = grake3 (gram standard),,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
2,,,,,,,,,,
2,,,,,,,,,,
2,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
3,,,,,,,,,,
3,,,,,,,,,,
3,1,&,pancymriko,odor+*UNKNOWN*,,,,,,
3,2,&,panmriko,odor+*UNKNOWN*,,,,,,
3,3,&,sanmriko,Spanish+*UNKNOWN*,,,,,,
3,1,&,spanymriko,Spanish+*UNKNOWN*,,,,,,
3,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
4,,,,,,,,,,
4,,,,,,,,,,
4,1,?*,baldorme,great+*UNKNOWN*,,,,,,
4,1,?*,bankroto,language+*UNKNOWN*,,,,,,
4,1,?*,barnumsi,out+*UNKNOWN*,,,,,,
4,1,?*,betydelse,tragedy+*UNKNOWN*,,,,,,
4,2,?*,bistrita,ice+*UNKNOWN*,,,,,,
4,1,?*,blague,blue+*UNKNOWN*,,,,,,
4,1,?*,blomoproi,boat+*UNKNOWN*+time,,,,,,
4,2,?*,boltikpajvi,ball+adjust+*UNKNOWN*,,,,,,
4,9,?*,brabragrida,big+big+*UNKNOWN*,,,,,,
4,10,?*,bredie,ready+*UNKNOWN*,,,,,,
4,1,?*,breldena,ready+*UNKNOWN*,,,,,,
4,2,?*,brementsuma,*ready+mind+*UNKNOWN*,,,,,,
4,1,?*,brintiti,predicate+*UNKNOWN*,,,,,,
4,1,?*,britetli,predicate+*UNKNOWN*,,,,,,
4,2,?*,britiska,predicate+*UNKNOWN*,,,,,,
4,1,?*,brodaske,Hebrew+*UNKNOWN*,,,,,,
4,1,?*,brubrima,brush+*UNKNOWN*,,,,,,
4,1,?*,brulanta,brush+*UNKNOWN*,,,,,,
4,1,?*,burtanti,brown+*UNKNOWN*,,,,,,
4,3,?*,burtia,brown+*UNKNOWN*,,,,,,
