lujvo,meaning
ba'armo'a,pattern of marks
ba'orzu'e,to grow something
ba'ostu,nursery; growth/colony of germs
ba'urdu'u,to bitch/whine about something
ba'urnoi,spoken message; to tell someone something
ba'urtadji,pronunciation
ba'usku,to say something
bacycta,look through
bajyjvi,to run a race
bajykla,to come running
bajli'a,run away from
bajystu,running track
bakcange,cattle ranch
bakcatra,bull-fighter
bakplixa,plougher､ someone using oxen to plough
bakre'u,beef､ steak､ beefsteak
bakryta'o,chalkboard/slate
bakyjanbe,cowbell
bakykakpa,using oxen to dig､ plough
balcu'e,University
baldakyxa'i,great sword
baljamna,great war
balku'a,Hall
balnunjamna,great war
balrai,grandmaster; generally､ greatest
balsoi,warrior､ great soldier
baltutra,realm
bacybau,metalanguage
bacycripu,bridge to the beyond (poetic coining)
bacycu'e,college
backemselrerkru,hyperbola
backla,go beyond
banjikske,sociolinguistics
baupli,to speak a language
banpliske,pragmatics
banta'a,to speak a language. (Can also use baupli or tavla fo...)
bantadni,linguistics/linguist
banvelsku,to be in language x
baple'i,to bribe
barca'e,to thrust
brablo,ship､ big ship
barfle,to flow out of
bagyce'a,bow
bagyxai,bow
barjyja'a,bar/cafe manager
barkalri,to have an opening to the outside
barkla,to exit
barli'a,to exit; (place structure of cliva)
bartca,suburb
barterzga,exteroperceptors
basme'e,pseudonym
basygau,to replace Y with Z
basyvla,anaphora
batfendi,to bite something apart
batkyci'a,to type
batkyke'a,key hole
baucmu,language basis; (e.g. Esperanto's _Fundamento_)
baucre,linguist (informally - more appropriate for
bauske,linguistics
bavla'i,next
bavlamdei,tomorrow､ the next day､ the day after
bavlamjeftu,next week､ the week after
bavna'arefma'i,anniversary month
bavna'ake'udei,anniversary day
bavyspe,fiance; fiancee
bavyteike'u,anniversary
bavyteirefma'i,anniversary month
bavyteireftei,anniversary
be'aspe,daughter-in-law
befcro,bellyache
bebgei,giddy
befke'a,abdominal cavity
befsfeke'a,navel
befsri,belt
be'udzu,crawl
beipre,carrier; waiter; porter (etc.)
bejmu'o,to successfully deliver to､ to have something get there
bemjoitco,the Americas
benmro,brain-dead
bermau,something to the North of you
berpau,northern part of something (e.g. territory)
berstici,northwest
berstuna,northeast
besmamta,mother of son [as opposed to daughter] X
bevma'e,loaded vehicle; e.g. truck
beircarce,wagon､ cart
bifcau,still [of day]
bifkluza,fluttering､ loose to the wind
bifmlo,windmill
bifyvilcarvi,windstorm
bigygau,to obligate someone to do something
bijyjbu,desk
bijyku'a,[Main] Office
bijyta'e,briefcase
bikydamri,whip [musical instrument]
bikykla,to dash､ to rush
bi'arbi'o,to get sick
bi'amlu,sickly､ sick-looking
bimxra,wall picture [mural or framed painting]
binkemgaste'i,intersubjectivity
binrydi'a,insurance premium
binryve'u,to sell insurance
velbinryve'u,insurance premium
binynalvokselba'u,buffer sound [interconsonantal]
bircidni,elbow
birdadykla,to brachiate
birjai,hug､ embrace
birtafpau,sleeve
birtu'u,sleeve
birtu'ucau,sleeveless
birvrajvi,arm-wrestling
bisycmaplini,comet
bivjetka'u,byte､ octet
blari'o,blue-green
blita'o,a slab
blogre,to be ferried
blokla,to go by boat
bloli'u,to travel by boat
blomuvga'a,oar
blosazri,boat pilot
blufle,blood-flow
bluselpi'a,bloody
bofsnipa,sticky patch､ sticky foil in general
bogygreku,skeleton
bogykamju,spine､ emphasizing shape/columnar aspect
boldi'u,dome
bolga'axa'i,mace
bolgrijvi,ball game tournament (generic)
bolgu'o,in tanru for bowling
boijme,pearl; any ball-shaped gem
bolkei,ball game (generic)
bolkeijvi,to compete at a ball game
boltikpa,to kick a football
boltipkei,football [as game]
boltipyboi,football ball
boltipyjvi,football [as competition]
brabi'o,to grow､ to become big
brabra,colossal
brabracrida,giant
bracutci,boot
bradzu,to stride
brafe'a,abyss
braje'a,megastate
brajmadegji,big toe
brajmadegycalku,big toe nail
brakruca,amply overlap
bramau,bigger
brapatxu,big pot､ cauldron
braplu,continent
braro'i,boulder
brasa'o,steep
bravau,large container
limna bravau,swimming pool
brivla,predicate word (properly､ selbrivla)
bromalsi,synagogue
brulu'i,to sweep [of floor]
bukydi'u,tent
bukcilta,thread
bukfa'u,fall by parachute
bukfe'a,a tear in cloth
bu'udru,tent
bukmra,tent
buktaiterjo'e,”dart” of... joined to... [clothing]
bukterjo'e,seam of...; joined to ...
bukyjabre,parachute
bukykoi,selvedge of... [clothing]
bunspe,person married to one's brother; sister-in-law
burnanba,brown bread
ca'arcau,with no apparatus､ unaided [e.g. bare-handed combats; with the naked eye]
ca'erbi'e,the wind [as mover of sailed vehicles]
ca'erslanu,valve､ piston
ca'icru,to permit
ca'irci'a,to endorse
cabdei,today
cabma'i,this month
cabmamta,current mother
cabmi'u,simultaneous with.../at time...
cabmo'a,current pattern of things
cabnalza'i,extinct､ not extant
cabna'a,this year
cabycedra,modern era [of history]
cabysna,symphony (fig.)､ concord､ harmony of sounds､ simultaneous sound
cabysni,signs for seasons and days [signs for specific times --- of daytime and nighttime]
cacyju'o,have always known; familiar
cacyjva,convention
cadgau,to play [without a specific game; to play around]
cadykei,to idly play with
cadysti,to cease and rest
cagyce'u,rural/pastoral community
cagyselxa'u,village
cagzaita'u,market town
cagzai,farmer's market
caicni,ardent
caicpe,to beg of someone [request]､ (not ask for money)
caicta,to stare
caidji,intense desire
camcinla,new [moon]
cinlyrai,new [moon]
caizma,more intense
caivru,roaring
cakcinki,beetle
cakcurnu,snail
cakybe'ujma,claw [of crabs etc.] (but cf. jgalu)
cakyda'u,shellfish
cakyrespa,tortoise､ turtle
calze'a,expand (intr.)
caibra,huge
camcarvi,pours [intense rain]､ emphasizing bulk/intensity
camcikna,wide awake
camcilce,wild (e.g. of weather)
camcintungau,petting
camcniri'a,extremely moving
camganra,intensely broad
camgei,intensely happy
campei,intensely think､ concentrate
camselci'i,fan
camselci'igri,fandom
caitcu,desperate
camte'a,horror
camtoi,effortfully
camvrici,various
cagypre,farmer
capli'u,adventurer
capti'i,threatening､ menacing
capyjde,warning someone of danger､ threaten
carcpu,to reel in (weak tanru)
cargau,to turn (tr.)
carna'ivinji,helicopter
ca'irvei,document originating with an authority
cavlu'i,showers､ washes in a shower (tr.)
cavyfle,liquid pours from/to (non agentive)
cavykosta,raincoat､ mackintosh
cavysezlu'i,to shower､ to wash oneself in a shower
cazyfusra,now rotten
cazytcini,current situation
cedrymi'u,contemporary of; [person]
celtci,launching tool
cemlanzu,tribal
cempre,member of community
cnecme,varying names (poetic compound)
centre,centimeter
cermurse,dawn
cespre,prophet､ holy man
cesri'a,bless､ sanctify
cesri'isi'a,worship
cestoldapma,bless
cesycku,holy book､ scripture､ bible､ Koran
cesystu,holy site
cevrirni,Father [of God]
ceirselcpe,prayer [of roleplaying games]
ceirselxa'u,Heaven､ house of the god
ceizda,Heaven
cfagau,to initiate something
cfatse,sit down (co'a zutse)
fi'unri'abau,confusing language
ci'ajbu,desk､ writing desk
ci'arfi'i,to write something [literary work]
ci'arse'u,secretary of...
ci'asku,to express in writing
ci'izma,more interesting
cibdei,Wednesday (daytime/nighttime non-specific)
reldei,Tuesday (daytime/nighttime non-specific)
pavdei,Monday (daytime/nighttime non-specific)
vondei,Thurday (daytime/nighttime non-specific)
mumdei,Friday (daytime/nighttime non-specific)
xavdei,Saturday (daytime/nighttime non-specific)
nondei,Sunday (daytime/nighttime non-specific)
zeldei,Sunday (daytime/nighttime non-specific)
cibjantradamri,triangle; [musical instrument]
cibjgatai,triangle
cibmeilei,threesome
cibylajyterkruca,three-way intersection
cibyselxi'u,three-wheeled
cibyselxi'u velprevelma'e,three-wheeled bicycle
cibyskosa'e,triple stop in string instruments
cibyslakyvla,three-syllable word
cibyteryrau,tertiary
cicfe'u,ferocious
cicfoi,uncultivated field､ forest､ wasteland etc.
cicpre,wild man/woman､ savage
cicre'a,wild man/woman､ savage､ barbarian
cicti'a,storm
cicyractu,hare
cicyspa,weed､ plant growing in the wild
cicyspafoi,brush
cidbajgre,to scurry through
cidbajykla,crawl
cidydzu,crawl
cidydzukla,crawl
cidykla,crawl
cifylisri,children's story
cifydatka,duckling
ciksne,daydream
cikybi'o,to awaken (intr)
cikygau,to awaken (tr)
cimde'u,mud
cimdilnu,mist
cimnalsra,
cimnytei,eternity
cimri'a,to moisten
cimxra,a picture done in paint､ a painting (short for cimcintyxra)
cincigla,gonad
cingafpre,transsexual
cintungau,to stimulate someone sexually
cintyfaigau,to paint something
cinvi'i,ejaculate
circre,historian
circtu,historian [as teacher]
cirmi'o,historical
citkanba,kid goat
citmau,younger
citnanla,young boy
citnau,young man
citni'u,young woman
citpe'o,young friend
citrai,youngest
civysfani,flea
cizda'u,monster､ freak
ckabu'u,bedcloth
ckali'a,to rise [from bed]
kafpanci,smell of coffee
kafpatxu,coffee pot
kafyzai,coffee shop､ shop where you buy coffee beans
ckagai,bedcover
ckakla,to go to bed
ckazbe,base of bed
ckudi'u,library [building]
ckuku'a,library [room]
kulpikta,diploma
kultadni,to study [at school]
ckupau,book chapter
ckupaupau,book section
ckupra,to publish
ckusro,library [as collection of books]
ckuzda,library
ckuzdacre,librarian
ckuzdaske,library science
clacku,long book､ tome
cladakyxa'i,long sword
cladjine,ellipse､ ellipsoid､ oval
claga'u,tall
clakurfa,rectangle
clamau,longer
clapi'e,to long jump
clapi'ejvi,long jump [as competition]
clapre,tall person
clara'i,to stretch forwards (intr.)
clare'i,old､ as having survived/experienced much
claselxadni,tall
clatei,long [in time]; [of events]
claxa'i,long sword
caurgau,deprive､ remove [particularly of abstract qualities]
clinoi,instructional message; ”help” in computer game
lirgli,Old English
cupypijne,paperclip
cmabanfi,small amphibian
cmabu'u,small cloth
cmacai,tiny
cmaca'e,small pushes､ pulses
cmacifnu,small infant [in size]
cmacinfo,small lion (not primarily lion cub)
cinfypanzi,lion cub
cmacpi,small bird
cmacma,tiny
cmami'a,to chuckle
cmacrida,dwarf
cmactatci,microscope
cmaplu,little island
cmafle,a trace [of mist]
cmagu'e,small country
cmagu'etru,governor
cmalauca'a,microphone
cmala'u,small lake
cmama'a,hill
cmamudyspi,woodchip､ splinter
cmapinflani,piccolo
cmaplini,small planet､ asteroid
cmari'e,stream
cmaro'i,gravel
cmaste,small list
cmataisni,figurine [used in games]
cmatca,village
cmatricu,brush
cmatru,small governor
cmave'a,small child [in size]
cmaxli,small girl
cmazda,small nest
cmebasti,pronoun､ pseudonym
cmeju'o,to know someone's name
selcmeju'o,to know someone's name
cmekancu,to count out､ naming the numbers
cmemo'i,to remember someone's name
cmesanji,to identify [be conscious of the name of]
cmetcita,nametag
cmeterge'a,something that does the same job grammatically as a cmene name､ even though it isn't a cmevla itself (e.g. la broda)
cmevla,morphologically-defined name [name word]
cmibi'o,to join､ to become a member of
cmoba'u,to moan something
cmodji,to sigh for something
cmosku,to moan something
cnadakfu,chisel
nebykoi,neck edge [clothing]
cnedatni,a variable
cnelai,a variable
cnicro,to hurt [emotionally]
nicygau,to order､ to sort
cnidu'e,excitement
cnija'o,emotional､ (in tanru; remna...) human [emotionally]､ showing emotions
cnijbi,sympathises､ feels close to
cnikansa,empathy (in tanru)
cnima'o,attitudinal
ninja'o,introduce [of concepts]
cniri'a,moving [emotionally]
cnisei,heart (figurative)､ emotional self
cnisni,sign of emotion
cnita'u,sexually provocative clothing､ primarily lingerie
crodri,painfully sad
crotsapi,hot spices
crovu'i,painful-tasting [spicy､ hot]
cpadji,to want [to get] something
selkemcpadji, x1 = cpacu2 (gotten)､ x2 = djica1 (desire) = cpacu1 (get)､ x3 = cpacu3 (got from)､ x4 = djica3 (purpose desired for)
se cpadji,
cpatu'i,accept [something]
cpesku,to plea､ saying
cpinytsapi,hot spices
cpizda,bird's nest
cpumuvgau,pull something
cradyvelcradi,radio transmitter/receiver (though velcradi should be adequate)
craku'a,anteroom
crale'u,initial [letter]
crapau,front､ front portion [body part]
crasfe,front surface
crastu,the front of
cravro,front door
crelei,character class [of role-playing games]
cistcika,summer [daylight saving] time
crogla,searing heat
crogle,sadomasochism
crori'a,to cause pain､ to hurt
cruvei,a permit; (part of tanru for) shares
ctacarna,turn head to look､ look around
ctebixtei,twilight
ctejau,dew
ctemanku,the dark of the night
ctemurse,twilight
ctesai,supper
cticinza,chopsticks
cticpe,to order a meal
ctidakfu,knife
ctidji,to have a craving for､ to like eating
ka ctidji,appetite
kamctidji,appetite
ctigau,to feed
ctiku'a,dining room
ctilyvau,gas tank､ fuel tank
