gismu,position,oblique
bacru,1,speaker: utter
bacru,2,utterance: uttered: is voiced
badna,1,banana
badna,2,banana species
badri,1,someone sad
badri,2,depressing: object of sadness
bajra,1,runner: run
bajra,2,running surface: track (for running)
bajra,3,running limbs
bajra,4,running gait
bakfu,1,bundle
bakfu,2,bundled: packaged: contents (of a bundle)
bakfu,3,bundle wrapping: packaging
bakni,1,bovine
bakni,2,bovine species/breed
bakri,1,chalk
bakri,2,chalk source
bakri,3,chalk form
baktu,1,bucket
baktu,2,bucket contents
baktu,3,bucket material
balji,1,bulb
balji,2,plant with bulb
balni,1,balcony
balni,2,balconied
balre,1,blade
balre,2,bladed
balvi,1,future
balvi,2,before: has in its future
bancu,1,something beyond
bancu,2,bound beyond which
bancu,3,reference for beyond: exceeded
bancu,4,beyondness property: extra: excess
bandu,1,defender
bandu,2,protected: defended
bandu,3,adversary: threat
banfi,1,amphibian
banfi,2,amphibian species
bangu,1,language
bangu,2,language community: speaker(s): people with language
banli,1,great
banli,2,greatness property
banli,3,greatness standard
banro,1,grow
banro,2,grown
banro,3,grown from
banxa,1,bank
banxa,2,banker
banxa,3,banking functions
banzu,1,sufficient: suffice
banzu,2,satisfied [by]: requires: purpose sufficed
banzu,3,sufficiency condition
bapli,1,force
bapli,2,forced
barda,1,big
barda,2,bigness dimension
barda,3,bigness standard
bargu,1,arch
bargu,2,arched over
bargu,3,arch material
barja,1,bar
barja,2,fare [of a bar]: served in bar
barja,3,bar customers: patrons [of a bar]
barna,1,mark
barna,2,marked
barna,3,mark material
bartu,1,something external: out
bartu,2,has outside
basna,1,emphasize: emphasizer
basna,2,stressed: emphasized
basna,3,emphasis
basti,1,substitute: replace
basti,2,replaced
basti,3,replacement condition
batci,1,biter: bite
batci,2,bitten
batci,3,bite locus
batci,4,biting tool
batke,1,button
batke,2,has button: knobbed: knobby
batke,3,button purpose
batke,4,button material
bavmi,1,barley
bavmi,2,barley species
baxso,1,Malay-Indonesian
baxso,2,Malay-Ind aspect
bebna,1,foolish
bebna,2,foolishness
bemro,1,North American
bemro,2,North American aspect
bende,1,crew
bende,2,crew members: team members
bende,3,leader [of a team]: lead crew
bende,4,crew purpose
bengo,1,Bengali
bengo,2,Bengali aspect
benji,1,transfer
benji,2,transferred
benji,3,receiver: receive transfer: recipient
benji,4,transmitter
benji,5,medium: carrier: transfer means
bersa,1,son
bersa,2,parent [of son]: mother: father
berti,1,north
berti,2,has to north
berti,3,frame for north
besna,1,brain
besna,2,brained: has brain
betfu,1,abdomen
betfu,2,has abdomen: bellied
betri,1,tragedy
betri,2,finds tragic: unfortunate: devastated [by]
bevri,1,carry
bevri,2,carrier: cargo: carried
bevri,3,destination [for cargo]
bevri,4,source [of cargo]
bevri,5,carrying path
bidju,1,bead
bidju,2,bead material: beaded
bifce,1,bee
bifce,2,bee species
bikla,1,whip
bilga,1,obliged
bilga,2,obligation: duty
bilga,3,obligation standard: code [of conduct]
bilma,1,ill
bilma,2,symptoms
bilma,3,illness: disease
bilni,1,military
bilni,2,regimentation: military system
bilni,3,military purpose
bindo,1,Indonesian
bindo,2,Indonesian aspect
binra,1,insurer: insure
binra,2,insured
binra,3,covered condition: insured risk
binra,4,insured benefit
binxo,1,become
binxo,2,changed into
binxo,3,becoming conditions
birje,1,beer
birje,2,beer ingredients
birka,1,arm
birka,2,armed: has arm
birti,1,certain
birti,2,certainty
bisli,1,ice
bisli,2,ice composition
bitmu,1,wall
bitmu,2,walled off: fenced
bitmu,3,walled from: fenced: walled off
bitmu,4,subdivided: structure with wall
blabi,1,white
blaci,1,glass
blaci,2,glass composition
blanu,1,blue
bliku,1,block
bliku,2,block material
bliku,3,block surface: face [of a block]
bloti,1,boat
bloti,2,carried by boat: shipped
bloti,3,propel boat: propeller [of boat]
bolci,1,ball
bolci,2,ball material
bongu,1,bone
bongu,2,bone function
bongu,3,has bone: bony
botpi,1,bottle
botpi,2,contents [of bottle]: bottled
botpi,3,material [of bottle]
botpi,4,lid [of bottle]: stopper
boxfo,1,sheet
boxfo,2,sheet material
boxna,1,wave
boxna,2,wavy: wave medium
boxna,3,wave-form
boxna,4,wave-length
boxna,5,wave frequency
bradi,1,enemy
bradi,2,opposes: has enemy
bradi,3,struggle [with enemy]: contention
bratu,1,hail
bratu,2,hail material
brazo,1,Brazilian
brazo,2,Brazilian aspect
bredi,1,ready
bredi,2,event prepared for
bridi,1,predicate
bridi,2,predicate relation
bridi,3,predicate arguments: are related
brife,1,breeze
brife,2,wind direction
brife,3,wind speed
briju,1,office
briju,2,office worker
briju,3,branch [of an office]: location [of office]
brito,1,British
brito,2,British aspect
broda,1,is it: does it: predicate var 1
brode,1,is it: does it: predicate var 2
brodi,1,is it: does it: predicate var 3
brodo,1,is it: does it: predicate var 4
brodu,1,is it: does it: predicate var 5
bruna,1,brother
bruna,2,has brother
bruna,3,brotherly bond
budjo,1,Buddhist
budjo,2,Buddhist aspect
bukpu,1,cloth
bukpu,2,cloth material
bumru,1,fog
bumru,2,fog composition: fogs
bunda,1,pound: weighs
bunda,2,weight [in local units]: number of pounds
bunda,3,pound standard
bunda,4,first subunit of pound
bunre,1,brown
burcu,1,brush
burcu,2,brush purpose
burcu,3,bristles [of brush]
burna,1,embarrassed
burna,2,embarrassing
cabna,1,now
cabna,2,co-occurred with
cabra,1,apparatus
cabra,2,apparatus function
cabra,3,apparatus operator: control apparatus
cacra,1,lasts [in hours]: hour
cacra,2,duration [in hours]: number of hours
cacra,3,hour standard
cadzu,1,walker: walk
cadzu,2,walked on
cadzu,3,walking limb
cafne,1,often
cafne,2,oftenness standard
cakla,1,chocolate
calku,1,shell
calku,2,has shell: shelled
calku,3,shell material
canci,1,vanish
canci,2,vanished from: can't see
canci,3,see vanish
cando,1,idle
cange,1,farm
cange,2,farm location
cange,3,farmer
cange,4,farm produce
canja,1,trader: exchange
canja,2,exchanged: traded: commodity [of trade]
canja,3,exchanged for: traded: commodity [of trade]
canja,4,exchanged with: trader
canko,1,window
canko,2,has window: windowed
canlu,1,space
canlu,2,takes up space: occupy space
canpa,1,shovel
canpa,2,dug with shovel
canre,1,sand
canre,2,sand source: sandy: gritty
canre,3,sand composition
canti,1,gut
canti,2,has gut
carce,1,cart
carce,2,carried on cart: carted
carce,3,propel cart
carmi,1,intense
carmi,2,intense property
carmi,3,find intense
carna,1,turn
carna,2,turn axis
carna,3,rotational direction: turn direction
cartu,1,chart
cartu,2,mapped [as a territory]: chart subject
cartu,3,shown on chart
carvi,1,rain
carvi,2,rained on: rainy
carvi,3,rained from
casnu,1,discuss
casnu,2,discussion subject: discussed
catke,1,shove
catke,2,shoved: pushed
catke,3,shoved at
catlu,1,looker: examiner
catlu,2,examined: looked at
catni,1,authority [person]
catni,2,underling: sphere of influence
catni,3,authority basis
catra,1,kill
catra,2,murdered: slaughtered: killed
catra,3,killing method
caxno,1,shallow
caxno,2,shallow direction
caxno,3,shallow reference point
caxno,4,shallowness standard
cecla,1,launcher
cecla,2,projectile: missile: launched
cecla,3,propellant: launch propulsion
cecmu,1,community
cecmu,2,live in community
cedra,1,era
cedra,2,characterize era
cenba,1,variable: vary
cenba,2,varying property
cenba,3,variance: varying amount
cenba,4,variance conditions
censa,1,holy
censa,2,hold as holy
centi,1,0.01
centi,2,has .01 part
centi,3,.01's dimension
cerda,1,heir
cerda,2,inheritance: estate
cerda,3,bequeath
cerda,4,rule of inheritance: will
cerni,1,morning
cerni,2,day of morning
cerni,3,morning location
certu,1,expert
certu,2,forte: expertise: do expertly
certu,3,expertise standard
cevni,1,god
