old_pos,new_pos
1 2 5,1 2 5
1 2 3,1 2 3
1 2 4,1 2 4
2 3 4,2 3 4
1 3 2,1 3 2
1 2/5 3,1 2 3
1 3 4,1 3 4
3 4 5,3 4 5
2 3 5,2 3 5
1 2/5 2/5,1 2 5
1 3 5,1 3 5
1 2/5 4,1 2 4
1 2 ,_
1/3 2 5,1 2 5
2 3/5 3/5,2 3 5
1/3 2 1/3,1 2 3
1/4 2 1/4,1 2 4
1 3/5 4,1 3 4
1 2 3/5,1 2 3
1 3 2/5,1 3 2
1 3/5 3/5,1 3 5
1/3 2 4,1 2 4
2 3/5 4,2 3 4
2/4 3 2/4,2 3 4
1 2/4 3,1 2 3
1 2 2,_
1/4 2 3,1 2 3
1/4 2 5,1 2 5
1 3 ,_
1/4 2 3,1 2 3
1/4 3 1/4,1 3 4
3 4 2/5,3 4 5
1  5,_
1/3 2/5 1/3,1 2 3
1/4 3 2,1 3 2
1/4 3 5,1 3 5
2 3 ,_
2/4 3 5,2 3 5
1 3 2/4,1 3 4
2 3 1/4,2 3 4
1/3 4 5,1 4 5
 2 5,_
1  2/5,_
1 2/5,_
1 5 5,_
1/3 2/5 2/5,1 2 5
1/4  5,_
4 2 5,_
4 2/5 2/5,_
  ,_
 3 5,_
1  3/5,_
2/4  5,_
2/4 3 3,_
1/3 2/5 4,1 2 4
2 3/5 1/4,2 3 4
1/3 4 2/5,1 4 5
1/4 2 3/5,1 2 3
