rafsi_or_cmavo,gismu,as_rafsi_ini,as_rafsi_mid,as_rafsi_fin,as_gismu,as_cmavo
ba'u,bacru,99,38,204,0,
bacru,bacru,0,0,0,1129,
badna,badna,0,0,1,21,
dri,badri,35,6,34,0,
badr,badri,0,0,0,0,
baj,bajra,76,32,0,0,
bajra,bajra,3,0,27,524,
bajr,bajra,0,0,0,0,
bakfu,bakfu,0,0,6,49,
bak,bakni,22,4,0,0,
bakni,bakni,0,0,9,95,
bakn,bakni,0,0,0,0,
bakri,bakri,0,0,2,12,
bakr,bakri,1,0,0,0,
baktu,baktu,0,0,4,10,
bakt,baktu,2,0,0,0,
balji,balji,0,0,1,7,
balni,balni,0,0,1,46,
ba'e,balre,0,1,36,0,
bav,balvi,359,48,0,0,
balvi,balvi,0,0,25,280,
balv,balvi,0,0,0,0,
bac,bancu,40,8,0,0,
bancu,bancu,0,0,13,148,
banc,bancu,0,0,0,0,
bad,bandu,119,13,0,0,
bandu,bandu,3,0,21,124,
banfi,banfi,0,0,32,26,
banfu,banfu,0,0,1,0,
bau,bangu,128,81,903,0,1158
ban,bangu,73,0,0,0,
bangu,bangu,0,0,2,1155,
bang,bangu,0,0,0,0,
bal,banli,138,6,0,0,
ba'i,banli,0,2,60,0,
banl,banli,0,0,0,0,
banli,banli,0,0,0,367,
ba'o,banro,7,12,28,0,
banr,banro,0,0,0,0,
banro,banro,0,0,0,100,
bansa,bansa,0,0,20,0,
bax,banxa,6,0,0,0,
banxa,banxa,0,0,2,22,
banx,banxa,0,0,0,0,
banzu,banzu,0,0,31,584,
baz,banzu,10,0,0,0,
bai,bapli,17,4,84,0,1420
bap,bapli,11,0,0,0,
bapl,bapli,0,0,0,0,
bra,barda,310,91,184,0,
barda,barda,3,0,0,751,
bard,barda,0,0,0,0,
bargu,bargu,0,0,6,45,
bag,bargu,2,0,0,0,
barja,barja,0,0,378,232,
barj,barja,46,0,0,0,
barji,barji,0,0,1,0,
ba'a,barna,7,0,9,0,
barna,barna,0,0,0,71,
bar,bartu,159,3,0,0,
bartu,bartu,0,0,26,181,
basna,basna,0,0,110,111,
bas,basti,38,5,0,0,
basti,basti,2,0,20,376,
bast,basti,0,0,0,0,
bat,batci,93,0,0,0,
batci,batci,1,0,27,720,
batk,batke,47,2,0,0,
batke,batke,0,0,4,25,
bavm,bavmi,20,0,0,0,
bavmi,bavmi,0,0,1,14,
baxso,baxso,0,0,1,11,
bebna,bebna,0,0,17,209,
beb,bebna,11,0,0,0,
bebn,bebna,0,0,0,0,
bem,bemro,2,0,0,0,
be'o,bemro,0,0,1,0,
be'e,bende,0,0,48,0,
bed,bende,17,0,0,0,
bende,bende,0,0,0,117,
bengo,bengo,0,0,1,1,
be'i,benji,36,12,82,0,105
bej,benji,5,0,0,0,
benji,benji,0,0,2,525,
be'a,bersa,1,0,76,0,
bes,bersa,7,1,0,0,
bersa,bersa,0,0,0,139,
ber,berti,38,11,0,0,
berti,berti,0,0,8,168,
bert,berti,0,0,0,0,
ben,besna,8,0,0,0,
besna,besna,0,0,1,154,
bef,betfu,98,0,0,0,
be'u,betfu,27,5,1,0,
betri,betri,0,0,1,83,
bei,bevri,46,22,141,0,
bev,bevri,1,0,0,0,
bevr,bevri,0,0,0,0,
bevri,bevri,0,0,0,678,
biv,bi,1,1,0,0,
biz,bi'i,2,1,0,0,
bidju,bidju,0,0,5,20,
bic,bifce,31,0,0,0,
bifce,bifce,0,0,1,17,
bifc,bifce,0,0,0,0,
bik,bikla,3,0,0,0,
bikl,bikla,0,0,0,0,
big,bilga,10,5,0,0,
bilga,bilga,0,0,7,290,
bilg,bilga,0,0,0,0,
bi'a,bilma,31,0,37,0,
bilm,bilma,0,0,0,0,
bilma,bilma,0,0,0,119,
bil,bilni,9,0,0,0,
bilni,bilni,0,0,4,26,
bindo,bindo,0,0,1,7,
binr,binra,7,1,0,0,
binra,binra,0,0,3,23,
bi'o,binxo,1,0,413,0,
bix,binxo,34,8,0,0,
binxo,binxo,0,0,18,782,
binx,binxo,0,0,0,0,
birj,birje,20,0,0,0,
birje,birje,0,0,1,95,
bir,birka,36,0,0,0,
birka,birka,0,0,3,201,
birk,birka,0,0,0,0,
birti,birti,0,0,44,411,
bit,birti,25,1,0,0,
birt,birti,0,0,0,0,
bis,bisli,13,0,0,0,
bisli,bisli,0,0,2,56,
bim,bitmu,4,18,0,0,
bi'u,bitmu,0,0,11,0,
lab,blabi,43,0,0,0,
blabi,blabi,0,0,21,491,
blab,blabi,0,2,0,0,
blaci,blaci,0,0,6,26,
blac,blaci,4,0,0,0,
bla,blanu,62,0,19,0,
blan,blanu,1,0,0,0,
blanu,blanu,0,0,0,1722,
bli,bliku,20,0,57,0,
bliku,bliku,0,0,0,47,
blo,bloti,69,9,37,0,
bloti,bloti,0,0,2,165,
lo'i,bloti,0,0,2,0,
lot,bloti,0,0,0,0,
bor,bo,0,10,0,0,
boi,bolci,21,30,68,0,
bol,bolci,89,0,0,0,
bolci,bolci,0,0,0,362,
bo'u,bongu,0,1,21,0,
bog,bongu,12,0,0,0,
bo'i,botpi,0,0,3,0,
bot,botpi,2,0,0,0,
bo'o,boxfo,8,0,16,0,
bof,boxfo,9,0,0,0,
bon,boxna,21,0,0,0,
bo'a,boxna,0,0,6,0,
brad,bradi,3,0,0,0,
bradi,bradi,0,0,2,45,
bratu,bratu,0,0,1,31,
raz,brazo,9,0,0,0,
brazo,brazo,0,0,1,3,
braz,brazo,0,0,0,0,
bre,bredi,62,1,43,0,
red,bredi,8,0,0,0,
bred,bredi,0,0,0,0,
bredi,bredi,0,0,0,111,
bri,bridi,950,23,4352,0,
brid,bridi,0,0,0,0,
bridi,bridi,0,0,0,4037,
bif,brife,89,0,0,0,
bi'e,brife,0,0,48,0,
brife,brife,0,0,0,207,
bij,briju,27,0,0,0,
briju,briju,0,0,5,149,
brij,briju,0,0,0,0,
rit,brito,26,0,2,0,
brito,brito,0,0,1,64,
broda,broda,52,0,32,9621,
rod,broda,25,0,0,0,
brod,broda,0,8,0,0,
bo'e,brode,0,1,0,0,
brodi,brodi,0,0,4,126,
bu'a,bruna,0,0,21,0,
bruna,bruna,0,0,3,311,
bun,bruna,1,2,0,0,
bu'o,budjo,2,0,7,0,
budjo,budjo,0,0,0,29,
bu'u,bukpu,1,4,61,0,
buk,bukpu,14,7,0,0,
bukpu,bukpu,0,0,0,88,
bumru,bumru,0,0,21,49,
bunda,bunda,0,0,3,36,
bu'e,bunre,0,0,17,0,
bur,bunre,7,6,0,0,
bunre,bunre,0,0,0,153,
bru,burcu,73,0,10,0,
burna,burna,0,0,13,47,
burn,burna,12,0,0,0,
caz,ca'a,3,0,0,0,
cab,cabna,343,4,0,0,
cabna,cabna,0,0,10,271,
cabn,cabna,0,0,0,0,
ca'a,cabra,58,4,126,0,
cabra,cabra,0,0,0,126,
cacra,cacra,0,0,22,182,
cacr,cacra,9,0,0,0,
dzu,cadzu,118,17,138,0,
cadz,cadzu,0,0,0,0,
cadzu,cadzu,0,0,0,388,
cafne,cafne,0,0,16,143,
caf,cafne,13,0,0,0,
cakla,cakla,0,0,3,31,
cakl,cakla,1,0,0,0,
cak,calku,14,16,0,0,
calku,calku,0,0,21,54,
calk,calku,0,0,0,0,
canci,canci,0,4,31,97,
canc,canci,8,0,0,0,
cad,cando,32,0,0,0,
cando,cando,0,0,16,56,
cand,cando,0,0,0,0,
cange,cange,0,0,16,64,
cag,cange,15,0,0,0,
cang,cange,0,0,0,0,
canja,canja,2,0,8,94,
caj,canja,2,0,2,0,
ca'o,canko,7,0,34,0,
cank,canko,0,0,0,0,
canko,canko,0,0,0,333,
ca'u,canlu,0,0,26,0,
cal,canlu,7,0,0,0,
canlu,canlu,0,0,0,53,
cna,canpa,3,0,16,0,
can,canre,33,7,0,0,
canre,canre,0,0,3,113,
cansu,cansu,0,0,2,0,
canti,canti,0,0,2,15,
cant,canti,1,0,0,0,
carce,carce,0,0,15,26,
cai,carmi,99,5,102,0,
cam,carmi,106,2,0,0,
carm,carmi,0,0,0,0,
car,carna,38,13,0,0,
carna,carna,0,0,47,92,
cartu,cartu,0,0,5,21,
cat,cartu,0,1,0,0,
carvi,carvi,0,0,15,227,
cav,carvi,12,2,0,0,
snu,casnu,96,18,101,0,
casnu,casnu,0,0,0,727,
ca'e,catke,13,1,21,0,
catk,catke,0,0,0,0,
catke,catke,0,0,0,99,
cta,catlu,38,7,178,0,
catlu,catlu,0,0,4,599,
catl,catlu,0,0,0,0,
ca'i,catni,9,0,40,0,74
catr,catra,67,2,0,0,
catra,catra,0,0,57,327,
caxno,caxno,0,0,3,9,
cax,caxno,2,0,0,0,
cec,ce,8,0,0,0,
ce'a,cecla,4,0,56,0,
cel,cecla,9,0,0,0,
cecla,cecla,0,0,0,164,
ce'u,cecmu,0,0,84,0,
cecmu,cecmu,0,0,15,296,
cem,cecmu,7,2,0,0,
cedra,cedra,0,0,26,59,
cedr,cedra,8,1,0,0,
cne,cenba,22,7,53,0,
cenb,cenba,0,0,0,0,
ces,censa,83,6,0,0,
censa,censa,0,0,3,98,
cens,censa,0,0,0,0,
cen,centi,0,4,0,0,
centi,centi,0,0,2,3,
cerda,cerda,0,0,7,68,
ced,cerda,6,0,0,0,
cer,cerni,24,0,0,0,
cerni,cerni,0,0,12,174,
cre,certu,38,0,87,0,
cet,certu,3,0,0,0,
certu,certu,2,0,0,291,
cei,cevni,97,3,74,0,
cev,cevni,31,0,0,0,
cevni,cevni,0,0,0,467,
cfa,cfari,93,27,57,0,
cfar,cfari,0,0,0,0,
cfari,cfari,0,0,0,294,
fi'a,cfika,0,23,95,0,
fik,cfika,5,31,0,0,
cfi,cfila,3,0,26,0,
cfine,cfine,0,0,1,10,
fi'u,cfipu,23,5,17,0,
cfip,cfipu,0,0,0,0,
cfipu,cfipu,0,0,0,306,
cib,ci,90,10,0,0,
blu,ciblu,12,20,3,0,
dja,cidja,124,3,58,0,
cidj,cidja,0,0,0,0,
cid,cidni,53,0,0,0,
cidni,cidni,0,0,6,31,
dro,cidro,4,0,6,0,
cif,cifnu,22,0,0,0,
cifnu,cifnu,0,0,19,148,
cifn,cifnu,0,0,0,0,
cigla,cigla,0,0,9,11,
cigle,cigle,0,0,2,0,
cikna,cikna,0,0,37,139,
cik,cikna,27,2,0,0,
cikn,cikna,0,0,0,0,
cikre,cikre,0,0,2,95,
cki,ciksi,38,1,100,0,
ciksi,ciksi,0,0,0,271,
cic,cilce,73,0,0,0,
cilce,cilce,0,0,24,70,
cilc,cilce,0,0,0,0,
cim,cilmo,103,22,0,0,
cilmo,cilmo,0,0,3,98,
cilm,cilmo,0,0,0,0,
cli,cilre,24,1,29,0,
cilr,cilre,0,0,0,0,
cil,cilta,4,0,0,0,
cilta,cilta,0,0,4,30,
cimde,cimde,0,0,9,45,
cimd,cimde,0,1,0,0,
cimni,cimni,0,0,12,49,
cimn,cimni,7,0,0,0,
cinba,cinba,14,0,3,299,
cindu,cindu,0,0,19,30,
cind,cindu,4,0,0,0,
cinfo,cinfo,0,0,18,369,
cinf,cinfo,1,0,0,0,
cinfu,cinfu,0,0,10,0,
cinje,cinje,0,0,2,23,
cinki,cinki,0,0,26,58,
cinla,cinla,0,0,19,54,
cinl,cinla,6,0,0,0,
cni,cinmo,95,16,106,0,
cinm,cinmo,0,0,0,0,
cinmo,cinmo,0,0,0,372,
ci'i,cinri,22,4,103,0,
cinr,cinri,0,0,0,0,
cinri,cinri,0,0,0,475,
cin,cinse,62,70,0,0,
cinse,cinse,4,0,19,109,
cins,cinse,0,0,0,0,
cint,cinta,42,0,0,0,
cinta,cinta,0,0,9,150,
cinz,cinza,3,0,0,0,
cinza,cinza,0,0,3,16,
cpi,cipni,11,2,99,0,
cipni,cipni,0,0,0,680,
cipnu,cipnu,0,0,1,0,
cipra,cipra,4,0,18,168,
cip,cipra,4,8,0,0,
cipre,cipre,0,0,1,0,
cri,cirko,6,2,38,0,
cirk,cirko,0,0,0,0,
cirla,cirla,0,0,6,123,
cirna,cirna,0,0,34,0,
cirni,cirni,0,0,8,0,
ci'a,ciska,47,12,230,0,
ciska,ciska,0,0,4,955,
cisk,ciska,0,0,0,0,
cism,cisma,15,0,0,0,
cisma,cisma,0,0,9,130,
ci'e,ciste,19,3,168,0,93
ciste,ciste,0,0,0,218,
cti,citka,125,17,53,0,
citk,citka,0,0,0,0,
citka,citka,0,0,0,1696,
ci'o,citno,14,0,228,0,
cit,citno,127,17,0,0,
citno,citno,0,0,4,462,
cir,citri,31,0,0,0,
citri,citri,0,0,3,59,
citsi,citsi,0,0,14,38,
cits,citsi,2,1,0,0,
civ,civla,2,0,0,0,
civla,civla,0,0,2,29,
cizra,cizra,3,0,21,458,
ciz,cizra,20,0,0,0,
ckabu,ckabu,0,0,2,12,
kaf,ckafi,441,0,0,0,
ckafi,ckafi,0,0,5,533,
ckaf,ckafi,1,0,0,0,
