rafsi_or_cmavo	rafsi_or_cmavo_shape	rafsi_or_cmavo_len	gismu	gismu_shape	gismu_pos	as_rafsi_ini	as_rafsi_med	as_rafsi_fin	as_rafsi	percentage_ini	percentage_med	percentage_fin	as_gismu	as_cmavo	gismu:1	gismu_freq
ba'u	CAA	3	bacru	CACCA	1 2 5	99	38	204	341	0.0	0.0	0.0	0	0	bacru	341.0
bacru	CACCA	5	bacru	CACCA	1 2 3 4 5	0	0	0	0				1129	0	bacru	341.0
badna	CACCA	5	badna	CACCA	1 25 3 4 25	0	0	1	1	0.0	0.0	100.0	21	0	badna	1.0
dri	CCA	3	badri	CACCA	3 4 5	35	6	34	75	0.0	0.0	0.0	0	0	badri	75.0
badr	CACC	4	badri	CACCA	1 2 3 4	0	0	0	0				0	0	badri	75.0
baj	CAC	3	bajra	CACCA	1 25 3	76	32	0	108	0.0	0.0	0.0	0	0	bajra	138.0
bajra	CACCA	5	bajra	CACCA	1 25 3 4 25	3	0	27	30	0.0	0.0	0.0	524	0	bajra	138.0
bajr	CACC	4	bajra	CACCA	1 25 3 4	0	0	0	0				0	0	bajra	138.0
bakfu	CACCA	5	bakfu	CACCA	1 2 3 4 5	0	0	6	6	0.0	0.0	100.0	49	0	bakfu	6.0
bak	CAC	3	bakni	CACCA	1 2 3	22	4	0	26	0.0	0.0	0.0	0	0	bakni	35.0
bakni	CACCA	5	bakni	CACCA	1 2 3 4 5	0	0	9	9	0.0	0.0	100.0	95	0	bakni	35.0
bakn	CACC	4	bakni	CACCA	1 2 3 4	0	0	0	0				0	0	bakni	35.0
bakri	CACCA	5	bakri	CACCA	1 2 3 4 5	0	0	2	2	0.0	0.0	100.0	12	0	bakri	3.0
bakr	CACC	4	bakri	CACCA	1 2 3 4	1	0	0	1	100.0	0.0	0.0	0	0	bakri	3.0
baktu	CACCA	5	baktu	CACCA	1 2 3 4 5	0	0	4	4	0.0	0.0	100.0	10	0	baktu	6.0
bakt	CACC	4	baktu	CACCA	1 2 3 4	2	0	0	2	100.0	0.0	0.0	0	0	baktu	6.0
balji	CACCA	5	balji	CACCA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	7	0	balji	1.0
balni	CACCA	5	balni	CACCA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	46	0	balni	1.0
ba'e	CAA	3	balre	CACCA	1 2 5	0	1	36	37	0.0	0.0	0.0	0	0	balre	37.0
bav	CAC	3	balvi	CACCA	1 2 4	359	48	0	407	0.0	0.0	0.0	0	0	balvi	432.0
balvi	CACCA	5	balvi	CACCA	1 2 3 4 5	0	0	25	25	0.0	0.0	100.0	280	0	balvi	432.0
balv	CACC	4	balvi	CACCA	1 2 3 4	0	0	0	0				0	0	balvi	432.0
bac	CAC	3	bancu	CACCA	1 2 4	40	8	0	48	0.0	0.0	0.0	0	0	bancu	61.0
bancu	CACCA	5	bancu	CACCA	1 2 3 4 5	0	0	13	13	0.0	0.0	100.0	148	0	bancu	61.0
