rafsi_or_cmavo_len	rafsi_or_cmavo_shape	gismu_shape	gismu_pos	COUNT(*)
2	CA	CACCA		5
2	CA	CCACA		2
3	CAA	CACCA	1 2 5	273
3	CAC	CACCA	1 2 3	234
3	CAC	CACCA	1 2 4	225
3	CAC	CCACA	2 3 4	81
3	CCA	CCACA	1 2 3	68
3	CCA	CACCA	1 3 2	54
3	CAC	CACCA	1 25 3	51
3	CAC	CCACA	1 3 4	46
3	CCA	CACCA	3 4 5	46
3	CAA	CCACA	2 3 5	45
3	CAA	CACCA	1 25 25	41
3	CAA	CCACA	1 3 5	36
3	CAC	CACCA	1 25 4	33
3	CAA	CACCA	1 2 	15
3	CAA	CACCA	13 2 5	13
3	CAA	CCACA	2 35 35	13
3	CAC	CACCA	13 2 13	11
3	CAC	CACCA	14 2 14	11
3	CAC	CCACA	1 35 4	9
3	CCA	CCACA	1 2 35	9
3	CCA	CACCA	1 3 25	7
3	CAA	CCACA	1 35 35	6
3	CAC	CACCA	13 2 4	6
3	CAC	CCACA	2 35 4	6
3	CAC	CCACA	24 3 24	6
3	CCA	CCACA	1 24 3	6
3	CAA	CACCA	1 2 2	5
3	CCA	CCACA	14 2 3	5
3	CAA	CACCA	14 2 5	4
3	CAA	CCACA	1 3 	4
3	CAC	CACCA	14 2 3	4
3	CAC	CCACA	14 3 14	4
3	CCA	CACCA	3 4 25	4
3	CAA	CACCA	1  5	3
3	CAC	CACCA	13 25 13	3
3	CCA	CACCA	14 3 2	3
3	CAA	CCACA	14 3 5	2
3	CAA	CCACA	2 3 	2
3	CAA	CCACA	24 3 5	2
3	CAC	CCACA	1 3 24	2
3	CAC	CCACA	2 3 14	2
3	CCA	CACCA	13 4 5	2
3	CAA	CACCA	 2 5	1
3	CAA	CACCA	1  25	1
3	CAA	CACCA	1 25 	1
3	CAA	CACCA	1 5 5	1
3	CAA	CACCA	13 25 25	1
3	CAA	CACCA	14  5	1
3	CAA	CACCA	4 2 5	1
3	CAA	CACCA	4 25 25	1
3	CAA	CCACA	  	1
3	CAA	CCACA	 3 5	1
3	CAA	CCACA	1  35	1
3	CAA	CCACA	24  5	1
3	CAA	CCACA	24 3 3	1
3	CAC	CACCA	13 25 4	1
3	CAC	CCACA	2 35 14	1
3	CCA	CACCA	13 4 25	1
3	CCA	CCACA	14 2 35	1
4	CACC	CACCA		367
4	CCAC	CCACA		139
5	CACCA	CACCA		871
5	CCACA	CCACA		274
